epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0616,4.46735,4.52785,4.20001,0,0,0,0,4.7913,4.51867,4.1597,2.222e-05,2.222e-05,2.222e-05
2,126.766,5.37617,4.57109,4.20654,0,0,0,0,4.79039,4.51858,4.16006,5.50001e-05,5.50001e-05,5.50001e-05
3,260.957,5.27394,4.5036,4.17366,0,0,0,0,4.78855,4.51832,4.15968,8.71202e-05,8.71202e-05,8.71202e-05
4,390.17,4.78094,4.45401,4.14048,0,0,0,0,4.7854,4.51786,4.15833,0.00011858,0.00011858,0.00011858
5,490.495,4.20701,4.38755,4.08842,0,0,0,0,4.78113,4.51739,4.15635,0.000149381,0.000149381,0.000149381
6,538.633,3.58221,4.24206,4.11499,0,0,0,0,4.77841,4.51724,4.15514,0.000179521,0.000179521,0.000179521
7,584.206,4.37276,4.17071,3.95174,0,0,0,0,4.77483,4.51753,4.15385,0.000209001,0.000209001,0.000209001
8,628.068,4.59346,4.08304,3.90291,0,0,0,0,4.77376,4.51786,4.15351,0.000237822,0.000237822,0.000237822
9,672.981,4.3432,3.83668,3.77417,0,0,0,0,4.77326,4.51912,4.15346,0.000265982,0.000265982,0.000265982
10,718.18,2.85481,3.27587,3.76508,0,0,0,0,4.77457,4.52018,4.15408,0.000293483,0.000293483,0.000293483
11,765.866,2.76978,3.04315,3.79551,0,0,0,0,4.77926,4.52308,4.15637,0.000320324,0.000320324,0.000320324
12,812.621,3.54358,2.6575,3.62607,0,0,0,0,4.78445,4.52526,4.15919,0.000346504,0.000346504,0.000346504
13,858.071,2.69934,2.01425,3.28405,0,0,0,0,4.8026,4.53081,4.16957,0.000372025,0.000372025,0.000372025
14,903.68,2.67943,2.18339,3.2239,0,0,0,0,4.81502,4.53425,4.17663,0.000396886,0.000396886,0.000396886
15,948.877,2.88349,2.22403,3.26664,0,0,0,0,4.84172,4.5409,4.19151,0.000421087,0.000421087,0.000421087
16,994.3,2.45792,1.87424,3.049,0,0,0,0,4.85414,4.54458,4.1982,0.000444628,0.000444628,0.000444628
17,1039.6,2.33263,1.68349,2.89074,0,0,0,0,4.87079,4.55227,4.20866,0.000467509,0.000467509,0.000467509
18,1083.73,2.18735,1.75033,2.99204,0,0,0,0,4.87048,4.55717,4.21055,0.00048973,0.00048973,0.00048973
19,1132.36,2.10956,11.4344,3.29084,0,0,0,0,4.85595,4.55983,4.20434,0.000511291,0.000511291,0.000511291
20,1179.73,2.41307,1.79885,2.8765,0,0,0,0,4.84389,4.56242,4.19862,0.000532192,0.000532192,0.000532192
21,1223.98,2.1509,1.82381,2.77022,0,0,0,0,4.82142,4.56241,4.18648,0.000552434,0.000552434,0.000552434
22,1267.42,2.15787,1.73216,2.69257,0,0,0,0,4.76963,4.55919,4.15867,0.000572015,0.000572015,0.000572015
23,1312.3,2.32618,1.85116,2.85027,0,0,0,0,4.708,4.554,4.12887,0.000590936,0.000590936,0.000590936
24,1355.49,2.43734,1.61177,3.1089,0,0,0,0,4.69556,4.55379,4.1254,0.000609198,0.000609198,0.000609198
25,1400.61,2.20323,1.74481,2.92575,0,0,0,0,4.70729,4.55568,4.132,0.0006268,0.0006268,0.0006268
26,1444.93,2.15139,1.45012,2.58158,0,0,0,0,4.72368,4.55666,4.13968,0.000643741,0.000643741,0.000643741
27,1489.55,1.98043,1.41032,2.48976,0,0,0,0,4.70955,4.5517,4.13026,0.000660023,0.000660023,0.000660023
